Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,2022-02-18 10:53:06,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",2.8000000000,5.82,USD,1.13609,,"EUR",14.37,"EUR",,,,,,,,EOF1795975777,0.02,"EUR"
Market buy,2022-02-18 14:30:16,BMG162521014,BIP,"Brookfield Infrastructure Partners",1.0000000000,60.12,USD,1.13455,,"EUR",53.07,"EUR",,,,,,,,EOF1795987337,0.08,"EUR"
Market buy,2022-02-18 14:30:16,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.2500000000,60.12,USD,1.13433,,"EUR",13.27,"EUR",,,,,,,,EOF1795987336,0.02,"EUR"
Market sell,2022-02-18 16:52:40,CA87971M1032,TU,"TELUS",4.0000000000,25.16,USD,1.13307,6.72,"EUR",88.69,"EUR",,,,,,,,EOF1796875338,0.13,"EUR"
Market sell,2022-02-18 20:59:38,US90214J2006,TWOUQ,"2U",15.0000000000,9.63,USD,1.13249,0.93,"EUR",127.36,"EUR",,,,,,,,EOF1796894563,0.19,"EUR"
Withdrawal,2022-02-21 16:33:20,,,,,,,,,,-250.00,"EUR",,,,,,,,b1df5114-c30a-4884-8e50-f20575d7a7b7,,
Dividend (Ordinary),2022-03-02 14:56:54,US4581401001,INTC,"Intel",0.3878150000,0.31,USD,Not available,,,0.11,"EUR",0.02,USD,,,,,,,,
Deposit,2022-03-08 07:47:33,,,,,,,,,,500.00,"EUR",,,,,,,"Bank Transfer",10253a89-3245-47d6-9a4c-4d5a18f63959,,
Market buy,2022-03-08 13:15:28,XS2819844387,3OIS,"WisdomTree WTI Crude Oil 3x Short",30.0000000000,1.24,USD,1.08931,,"EUR",34.20,"EUR",,,,,,,,EOF1823103863,0.05,"EUR"
Market buy,2022-03-11 10:47:51,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.3172950000,69.14,USD,1.09798,,"EUR",20.01,"EUR",,,,,,,,EOF1828266046,0.03,"EUR"
Market buy,2022-03-11 10:47:51,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.2392680000,66.87,EUR,1.00000,,"EUR",16.00,"EUR",,,,,,,,EOF1828266049,,
Market buy,2022-03-11 10:47:52,NL0000235190,AIR,"Airbus",0.0982115000,101.82,EUR,1.00000,,"EUR",10.00,"EUR",,,,,,,,EOF1828266052,,
Market buy,2022-03-11 10:47:54,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",1.3852500000,28.89,EUR,1.00000,,"EUR",40.02,"EUR",,,,,,,,EOF1828266059,,
Market buy,2022-03-11 10:47:54,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.8689840000,12.61,USD,1.09798,,"EUR",9.99,"EUR",,,,,,,,EOF1828266062,0.01,"EUR"
Market buy,2022-03-11 10:47:56,IE00BK5BZY66,2TSE,"Leverage Shares 2x Tesla",0.0199439000,401.12,EUR,1.00000,,"EUR",8.00,"EUR",,,,,,,,EOF1828266067,,
Market buy,2022-03-11 10:48:02,XS2820604853,NVDE,"Leverage Shares 2x NVIDIA",0.1304942000,122.61,EUR,1.00000,,"EUR",16.00,"EUR",,,,,,,,EOF1828266072,,
Market buy,2022-03-11 10:48:05,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",3.4661700000,2.53,USD,1.09798,,"EUR",8.00,"EUR",,,,,,,,EOF1828266078,0.01,"EUR"
Market buy,2022-03-11 10:48:10,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",1.5070100000,2.91,USD,1.09796,,"EUR",4.00,"EUR",,,,,,,,EOF1828266087,0.01,"EUR"
Market buy,2022-03-11 10:48:12,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.2547740000,47.10,EUR,1.00000,,"EUR",12.00,"EUR",,,,,,,,EOF1828266092,,
Market buy,2022-03-11 10:48:15,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",1.2989700000,9.24,EUR,1.00000,,"EUR",12.00,"EUR",,,,,,,,EOF1828266097,,
